职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
测试工程师,本科,1-3年,深圳市万恒科技有限公司,深圳市南山区白石路深圳湾科技生态园9栋4楼426-427,1万-1.5万,工作职责：1、负责公司核心产品的测试工作。2、参与需求分析、需求评审 理解需求，提取测试需求，设计功能测试用例。3、维护测试环境、执行测试、跟进问题的修复、输出测试分析报告。4、参与部分应用功能、接口、性能测试工作。5、保证被测系统的质量，并通过流程和方法创新，努力提升测试的质量和效率。任职要求：1、本科及以上学历，2年以上测试经验，善于思考和总结。2、熟悉Mysql、MongoDB等操作，能够熟练使用常用sql语句。3、熟悉H5、Android 、ios各平台下各种应用测试特征，有相关的业务测试经验。4、熟悉软件生命周期，熟悉测试工作的相关流程及方法，能独立编写测试计划及完成测试用例的设计。5、熟练使用linux 操作系统及常用的命令能够独立分析日志定位问题。6、有志于从事产品测试工作，较强的学习能力和团队协作精神。7、有接口，性能测试经验8、熟练使用一种或多种开发语言者优先，如Java、Python、Shell等。
虚拟化工程师,大专,1-3年,深圳市瑞云科技有限公司,阳光科创B座17楼,8千-1.3万,岗位职责：1、负责Citrix虚拟化和桌面虚拟化项目的研究、设计、实施、运维和管理等工作；2、负责客户线上的问题和协调沟通处理Citrix相关事宜；3、负责服务器的日常巡检，服务器的搭建、更新、优化和监控。岗位要求：1、2-3年虚拟化系统集成类项目经验；2. 熟练掌握ESXi，XenServer，Hyper-V等服务器虚拟化原理和配置，获得相关认证者优先；3. 熟练掌握Citrix XenApp，XenDesktop等应用和桌面虚拟化原理和配置， 获得CCA证书者优先；4. 熟练掌握Citrix NetScaler等负载均衡设备的原理和配置，获得相关认证者优先；5. 精通微软Windows服务器、SQL Server数据库服务器、Active Directory服务器的安装、配置和优化；有微软MCSA或MCSE证书优先；6. 熟练使用Shell/Python等脚本编程语言，掌握自动化运维工具（如Ansible，saltstack等）；7. 具有较强的团队协作意识，性格开朗，沟通能力强，有强烈的求知欲和动手能力。
java高级工程师,本科,3-5年,深圳东金首创投资管理有限公司,深圳市福田区金田路诺德金融中心22FG,1万-1.5万,任职要求：1、 本科及以上学历，计算机或相关专业；2、 三年以上开发经验，精通JAVA语言编程，熟练掌握SSM或SSH框架；3、 具备需求分析和系统设计能力；4、 具备MySQL数据库服务器批量运维和管理经验；5、 熟悉BathShell、Perl、Python脚本语言；熟悉Linux操作系统，6、 善于学习、钻研、有拼劲，独立性强，富责任心。岗位职责：1、 负责产品结构的研发工作；2、 负责软件系统代码的实现，编写代码注释和开发文档；3、 负责系统架构的设计、核心代码的编写、系统性能的调优、业务需求的管理及数据挖掘和分析。
max 技术支持,大专,1-3年,深圳市瑞云科技有限公司,南山区阳光科创中心B座17层,8千-1.5万,岗位职责：1、负责平台渲染技术支持、在线解决用户渲染问题；2、能快速解决客户渲染过程的常见的渲染问题，并对问题进行分类整理3、需掌握经岗位培训后所必备的操作技能；4、负责后台软件插件的安装、更新、维护；5、能够快速的为客户定制渲染流程，进行渲染测试，和解决渲染中的各种问题6、有良好的职业道德及敬业精神，能接受5（天）*7.5小时轮岗值班安排。岗位要求：1、从事max相关制作二年以上，熟悉3dsmax及其主流插件使用和制作流程，熟练使用arnold vray redshift其中一款渲染器2、对三维软件及插件研究有浓厚兴趣，能独立解决安装和使用的相关问题；3、具备maxscript、python语言基础的，优先考虑；4、了解计算机硬件、网络、存储等相关知识，对window系统cmd脚本 和linux shell脚本了解者优先。5、性格开朗，并且具备分享、协作、服务意识，能够耐心细致地为客户解决问题；6、本工作对艺术美感无要求。
网络工程师,本科,1-3年,北京世纪互联宽带数据中心有限公司,深圳,1万-1.5万,"岗位职责：1、完成IDC网络运维,通过运维和不断的网络优化向客户提供高品质的网络服务。2、能够独立完成IDC网络的规划、建设、运维和优化工作。3、通过网管系统,实现对网络品质的实时监控，能快速判断及解决实际的网络故障；4、通过Cacti、Zabbix、Netflow等网管系统对网络运行数据进行分析、提供运营支持；5、运维自动化开发工作。6、对相关其他业务部门和客户提供必要的网络技术支持和指导；任职资格：1、本科学历及以上，计算机网络或通信系统等相关专业、二年网络工作经验及以上。2、精通TCP/IP协议及路由交换交换体系架构、QoS、主流路由协议（BGP OSPF等）、网络安全技术，能够熟悉规划与设计大型网络的网络结构和路由策略。3、熟悉主流网络设备厂商：CISCO、H3C、华为等主流厂商路由器/交换机等网络设备。4、系统开发能力。熟悉windows、linux等操作系统；具备Python、Shell等脚本编写能力优先5、良好的工作责任感和服务意识、较强的自学能力及良好的团队精神。6、熟悉国内电信运营商IDC网络，持有CCIE证书及同等网络证书者优先。"
资深搜索产品经理,本科,3-5年,深圳市环球易购电子商务有限公司,南山区东滨路4078号永新汇3号楼,2.5万-5万,岗位职责:1.负责电商平台的搜索引擎优化，包括技术实施、算法优化、前端用户体验；2.结合大数据分析互联网用户行为，能从用户行为中发现所负责产品的潜在用户需求；3.与设计、开发、运营等关联部门沟通协作，推进搜索、推荐服务在各端的应用。任职资格:1.本科及以上，3年以上产品经验，2年以上搜索、推荐相关产品经验；2.精通搜索原理，对索引、排序、纠错、提示词、分词等技术有深入理解；3.优秀的数据sense，有较强的数据分析能力，会一门快速处理数据的脚本语言更佳，比如Python；4.对国内外的主流电商搜索有一定了解，有前端产品的设计能力；5.对推荐引擎有了解者优先。
高级web前端开发工程师,大专,5-10年,深圳市协卓软件有限公司,科技园高新地铁站,1.5万-2万,"Web前端开发工程师1、负责PC和移动端web页面开发、维护和优化工作；2、负责搭建高性能、高可用和安全的前端开发框架，持续提升前端开发的效率和质量；3、深入理解前端UI设计师和业务咨询专家设计的设计方案,主导开发整个项目的前端框架,与后端工程师对接共同协作完成项目。1、精通Web前端开发实践经验；2、精通(X)HTML、JavaScript编程；3、精通AJAX/HTML5/CSS等前端开发技术；4、熟练掌握W3C标准、HTML5、CSS3；熟练掌握不同浏览器之间的兼容技术；5、至少掌握Jquery、vue、AngularJS、Bootstrap、requireJS、SeaJS等其中三种前端框架；6、至少熟悉JSP/CGI/python/php/nodejs或一种其他类似后台技术，对前后端联合开发的技术原理有全面认识；7、对DNS/HTTP和相关的其他底层网络协议有比较全面的了解；8、熟悉webpack等前端构建框架。"
高级运维工程师,大专,1-3年,深圳市瑞云科技有限公司,阳光科创中心B座17楼,8千-1.2万,"岗位职责：1、负责公司项目的部署、升级、数据备份与还原，并提出优化及解决方案；2、负责公司网络基础架构的设计和规划，根据需求优化和完善网络架构；3、负责服务器的运维与监控，做出性能分析并问题跟踪；4、负责IT资产的管理、完善系统网络架构、拓扑图、日常运维等相关文档；5、完成上级安排的各项临时性工作任务。岗位要求：1、大专及以上学历，计算机类相关专业 , 三年以上相关经验；2、熟悉nginx、iptables、mysql、redis、LVS等服务器的搭建,配置与优化；3、熟悉Zabbix、Cacti、ELK 等运维监控软件及日志管理平台的规划、部署及使用；4、精通静态路由、OSPF、IPsecVPN、VRRP、VLAN、DHCP、NAT、ACL等网络技术及原理；5、熟悉bash、python、bat的其中一种脚步语言6、熟悉window和linux的常用操作。"
高级爬虫工程师,本科,3-5年,深圳中泓在线股份有限公司,深圳市南山区高新区北区乌石头路8号天明科技大厦主楼14楼,1.5万-2.5万,"岗位职责：1、负责定向数据的采集与爬取、解析处理、入库及备份等数据日常工作；2、研究主流网站的爬取方法及数据清洗处理，负责非定向数据的清洗、整理、整合及合并等工作；3、及时解决生产上的系统问题，并对用户提供技术支持；岗位要求：1、3年以上Linux环境Java/Python开发经验，至少2年以上爬虫系统开发经验；2、使用技术框架包括但不限于：Nutch，WebCollector，Scrapy，Selenium3、熟练使用正则表达式、xpath解析数据、搜索策略、算法、数据聚类、重组技术，熟悉反爬虫；4、有过海量代理IP池建设，复杂验证码识别，熟练掌握安卓反编译经验优先5、熟悉抓包工具(Wireshark,Fillder等)，熟悉网络通信编程，网页抓取原理及技术，熟悉HTTP传输协议，能模拟各类操作爬虫；熟悉爬虫实现原理机制；对分布式和多线程技术有一定了解；6、熟练掌握分布式爬虫，日采集量千万级别以上，并充分了解抓取策略(1、深度优先遍历策略 2、宽度优先遍历策略 3、反向链接数策略等)；7、有较强的学习能力，对技术有钻研精神，热衷于新技术的学习和实践；8、具有良好的团队协作精神，思维清晰敏捷，逻辑分析能力强。"
导航算法工程师,本科,1-3年,优地网络有限公司,深圳市宝安区新安街道67区留芳路6号，庭威产业园1栋5楼。,1.5万-3万,岗位职责：1.研究并开发自主移动机器人所需的建图、定位、路径规划、运动控制等算法。2.研究并开发自主移动机器人所需的图像分割、道路检测、障碍物识别等算法。任职要求：1.具备ROS平台开发经验，能熟练开发ROS应用。2.熟悉激光雷达、深度摄像头等传感器的使用。3.熟悉Gmapping、Hector、Karto、Cartographer等开源2D激光SLAM算法，以及rgbdslam、ORB-SLAM等开源视觉SLAM算法。4.熟悉Navigation开源包，对其中的amcl、global planner、local planner、move base、costmap_2d等模块有深入学习和理解。5.具备良好的C/C++编程能力，熟悉Python编程。6.熟悉计算机视觉处理，熟悉OpenCV的使用。7.熟悉深度学习算法，熟悉Caffe、TensorFlow等框架的使用，熟悉CUDA编程者优先。8.具备良好的沟通能力和合作态度，对机器人产品研发充满兴趣和热情。公司简介：深圳优地科技有限公司的前身为UT斯达康深圳研发中心。是一家快速发展的高新技术企业。凭借强大的研发实力以及快速产品化能力，经过不断的努力，优地科技已经成为机器学习，嵌入式开发领域著名的厂商之一。优地科技为众多客户提供机器人整体方案，Slam/VSlam定位导航模组，移动机器人底盘，高性能游戏主机，VR/AR解决方案，移动OPENCV和CUDA高性能运算平台等产品。优地科技的努力方向是，将先进技术与普遍需求快速结合，为客户提供高科技和可靠稳定的智能产品及方案。公司主页：http://www.uditech.com.cn/
资深运维工程师,大专,3-5年,优购科技有限公司,深圳市南山区后海滨路兰香一街8号百丽大厦12楼,2.5万-4万,岗位描述：1、负责管理和运维公司所有云计算资源，包括虚拟机、网络、存储、安全等全系列标准化云计算产品和服务；2、所管理运维的云计算资源涉及国内外各大主流厂商的产品，包括但不限于阿里云、腾讯云、Ucloud、aws等；3、负责对接和评估公司各业务对云资源的需求，并根据需求给出容量规划方案、部署优化方案，同时根据业务的需求和开展节奏，确定部署计划；4、负责整体云资源的交付，并致力于提升资源利用率，优化使用成本；5、持续管理公司云计算资源，定期进行分析和推进优化计划；6、负责百丽集团业务系统的运维工作；7、对业务系统做好监控报警，及时发现业务系统异常，并快速止损恢复；8、根据业务发展和运行情况，对业务系统的部署进行架构调整和优化；9、对业务可用性负责，保证业务系统可用性达到公司要求。岗位要求：1、本科及以上学历，计算机及相关专业；3年以上运维工作经验；2、深入理解Linux操作系统和计算机网络；3、熟悉OpenStack或者其他虚拟化技术，有云系统相关研发或运维经验优先；4、熟悉各大主流云厂商的全系列标准化产品和服务，熟悉云主机、存储、网络的操作和原理，对至少2家以上主流云厂商的产品有较长时间的使用经验（参考阿里云、aws、腾讯云等）；5、良好的开发语言基础，并且至少精通如下一种研发语言，比如Go、Shell、Perl、Python、PHP等；6、精通nginx，熟悉主流服务端组件：lvs、tomcat、ZK、MQ、iptables、DNS等；7、熟练使用zabbix、saltstack等开源运维工具；8、有突出的故障定位和分析解决能力；9、能独立完成复杂任务、灵活处理各项事务、具备良好的沟通、协调和推动能力，善于团队协作，具备良好的学习能力和适应能力。
游戏测试工程师,本科,1-3年,深圳爱玩网络科技股份有限公司,深圳市南山区科苑路科兴科学园B1单元901,6千-8千,1、移动端、PC端、Web端等产品项目黑盒、性能、兼容等功能测试及风险评估等综合业务，把控和保障发布质量；2、负责缺陷跟踪和维护，对测试中发现的BUG进行详细分析，协助开发人员定位和解决问题，协助产品及美术做好效果及设计等评估建议；3、编写测试方案，测试计划，测试用例，搭建测试环境，执行测试任务；在团队内进行必要的新技能分享、测试类型拓展、尝试新的测试方法和测试工具；岗位要求：1、掌握软件测试理论和方法，熟悉测试流程，能熟练运用各种测试设计方法设计测试用例；2、至少熟悉一种脚本语言， 如：python、selenium core、testlink api、jenkins api、shell、C/C++等；3、熟悉主流自动化测试开源框架和工具，有过QTP、selenium等项目实施经验，且对框架或工具进行维护、优化；4、掌握证书管理，能独立完成App Store上架及相关问题处理；5、手机游戏应用行业，对游戏有强烈兴趣，熟悉手机系统；6、有自动化或性能测试工作经验者优先。
Windows software engineer(PC Tool),本科,3-5年,三星半导体(中国)研究开发有限公司杭州分公司,深圳市南山区SCC中洲控股A座,1.5万-3万,"职责描述：1.根据客户需求进行量产工具框架设计和功能开发；2.参与公司内部工具的架构设计及代码实现；3.基于原有工具进行模块优化及效率提升；4.针对工具相关问题或需求，进行现场或远程客户支持；5.编写相关技术文档。职位要求：1.熟练掌握C/C++语言; 熟悉 python优先，对Android系统和Linux内核有一定了解，优先考虑有产线支持经验的候选者；2.3年或以上C/C++.VC++开发经验，能够熟练运用Windows API标准库及Visual studio开发工具；3.有移动产品量产工具开发经验者优先；4.条理逻辑清晰，具备独立设计开发经验；5.流利的英语听说读写能力，能够与海外团队用英语交流，并编写工具说明文档。专业及学历要求：计算机/通信/电子/自动化类专业；本科、硕士及以上学历Responsibility1. Be responsible for MP Tool framework design and function development.2. Participate in the architecture design and code implementation of internal tools.3. Be responsible for module optimization and efficiency improvement based on the original tools.4. On-site or remote customer support.5. Writing related technical documents.Requirement1. BS or MS Degree on Computer Science or EE related.2. Strong programming skill with C/C++/C#, python is preferred.3. 3+ years C/C++,VC++ experience, proficient in using Windows API standard library and Visual Studio.4. Experience in the MP Tool development with mobile products is preferred5. Self-motivated, target driven and innovative thinking, great skill of raising proposal.6. Good written and spoken English ability."
Modem Field Test Engineer（Modem现场测试工程师）,本科,3-5年,三星半导体(中国)研究开发有限公司杭州分公司,深圳市南山区SCC中洲控股A座,1.5万-3万,"职责描述：1. 负责Modem芯片的外场测试，包括但不限于测试计划的制定，测试周期的安排，测试内容的执行，测试问题的提交以及缺陷的跟踪处理等。2. 对测试中发现的问题进行log/trace分析，给出初步结论，协助并推动研发快速解决问题。3. 对于芯片的新特性，客户的定制化需求等，开发并编写相应的场测用例。4. 现场支持客户场测问题，包括执行常规场测任务、协同客户执行联合场测等。5. 对于客户发现的严重场测问题，组织专项测试，协调研发快速解决客户问题。任职要求：1. 大学本科及以上学历，通信、电子等相关专业。2. 熟悉3GPP/3GPP2协议，包括LTE, CDMA 1X/EVDO, TD-SCDMA, WCDMA, GSM等。3. 对3GPP NAS/RRC/MAC/PHY等协议层至少其中之一有深入了解。4. 对5G端到端无线通信系统有深入理解者优先。5. 具备丰富的4/3/2G通信系统或者终端场测经验，熟悉测试场景的测试方法，有5G外场测试经验者优先。6. 具备独立分析、定位和现场解决问题的能力。7. 熟悉C/C++，Java，Python，TTCN，具备手机通信功能研发经验者优先。8. 良好的中英文书面和口语表达，精通韩语者优先。个性要求：1. 具有良好学习能力、团队合作精神，富有责任感与主动性2. 自我激励，追求结果，创新思维3. 虚心并乐于接受挑战"
运维工程师,大专,3-5年,中软国际科技服务有限公司深圳分公司,南山软件产业基地,面议,岗位职责：1.负责CICD相关组件的优化和自动化推进工作3.负责微服务中台应用和其他业务系统的运维工作3.负责总部监控系统和日志平台的部署，优化和运维工作4.负责应用容器化的相关工作岗位要求：1.具备CICD类工具运维经验2.熟悉haproxy、nginx、kafka等中间件，熟悉mysql、mongo等常用数据库操作和集群方案、熟悉linux操作系统和shell、python脚本编写3.熟悉docker、kvm等虚拟化技术4.熟悉ansible、saltstack等运维管理工具使用5.熟悉elk日志系统，prometheus监控系统等优先
技术总监,大专,5-10年,中大电子商务(深圳)有限公司,南山科技园,2万-3万,招聘要求：1.大专及以上学历，计算机及相关专业。2.精通Java、Web、C/C++、Python，熟悉Unix/Linux操作系统；熟悉PHP。3.8年以上研发团队管理经验，6年以上后台开发经验。4.至少3个大型项目以上的独立管理、开发经验，5年以上、15人以上的项目团队管理经验。5.优秀的项目管理能力，精通产品规划、业务需求、产品设计、系统开发、测试演练、运维支持、文档管理全流程管理。6.有商城经验者尤佳。工作职责：1.主导独立网站系统建设，负责系统架构的规划、开发、测试、运维及实施。2.全面统筹负责核心产品（网站web端、M端、App、商城）的研发管理工作。3.独自搭建开发及运行平台、独立承担程序模块的设计和开发。4.统筹负责整个项目团队工作，产品设计、后台开发、测试、优化等工作。
数据分析师,本科,3-5年,深圳市康拓普信息技术有限公司,深圳市南山区侨香路4068号智慧广场D栋5-8楼,1.5万-2万,岗位要求：1、计算机/应用数学/统计学等相关专业本科及以上学历，3年以上数据分析经验；2、熟悉Oracle、DB2等大型数据库系统，熟练使用SQL语句，对SQL性能有一定的理解；3、熟悉业务和数据建模方法以及常用的数据建模和分析工具，如SAS/R/Python等，熟悉常用的数据可视化工具，如Congnos/SPSS／Tableau等，熟悉基于Hadoop／Spark平台的数据挖掘和分析者优先；4、熟悉常用数据挖掘和机器学习算法，如时间序列、逻辑回归、分类、聚类、随机森林、卷积神经网络等，有算法优化和分布式实现经验者优先；5、工作踏实，勤奋，具有良好的逻辑分析能力，严谨的钻研精神，热爱钻研和学习，有上进心，性格沉稳。具备良好的沟通能力和团队合作精神。勇于创新和迎接挑战。岗位职责：1、玩出数据的商业价值，让数据变成生产力；2、负责根据项目需要进行数据处理、整合、标签等工作，进行业务和数据建模；3、负责数据挖掘和数据分析领域的模型以及算法开发以及优化；4、负责数据分析结果的展现、应用、评价、迭代等闭环流程。
高级运维工程师,本科,3-5年,深圳市东方博雅科技有限公司,深圳市南山区中山园路1001号TCL产业园国际E城E1栋8层,1.5万-2万,任职要求：1、 本科以上学历，2年以上网游运维经验三年相关工作经验；2、 精通Linux系列操作系统、熟悉使用Shell/python等脚本编程语言；3、 熟悉网络游戏运维流程，具备IDC管理经验及服务器大批量运程维护管理经验；4、 具备网游项目技术方案、计划的规划能力，较强的部门协调能力和执行力；5、 熟练使用Mysql/mongodb，熟悉TCPIP协议、HTTP协议;6、 熟练使用slatstack/ansible集中化管理工具;7、 具备良好的分析解决问题能力，能独立承担攻关任务，具备项目进度控制能力。8、有相关运维流程规范/制度的制订经验者优先岗位职责：1、 负责博雅游戏的业务运维工作；2、 负责分析排除游戏运维过程中的系统、数据库、网络、应用等故障及错误；3、 协调运维的上下游相关部门的相关工作；4、 制定游戏业务系统安全、备份、统计、巡检策略；5、 运维相关的文档、手册、流程编写整理。
定制化解决方案工程师,本科,3-5年,北京中科寒武纪科技有限公司,田厦国际中心A座,2万-3万,"任职资格：1、熟悉体系结构以及硬件基础，有Linux内核开发及性能优化相关的经验优先；2、熟悉caffe/tf,以及深度学习相关基础知识，了解典型的网络模型，有深度学习解决方案开发的优先；3、熟悉CUDA开发，有异构计算相关的大系统开发经验优先；4、熟悉Kubernetes系统架构，有KVM及docker方面的开发经验优先；5、良好的编程基础，熟练使用python/c++;6、具有独立解决问题的能力，良好的团队合作意识和沟通能力；7、学习能力强，思维缜密，表达清晰，有一定的抗压能力，项目紧时能适加班和出差；任职资格（必须项）：1、 本科及以上学历，数学、计算机、软件工程、自动化、通信、微电子等相关专业；2、 3-5年工作经验；3、 熟悉C++，具有较强的代码理解，开发和维护能力；4、 掌握常见深度学习框架如caffe，tensorflow，pytorch等，以及opencv等cv库；5、 熟悉常见的分类，检测网络；（加分项）1、 熟悉音视频编解码原理，熟悉国际标准及国内的行业标准，如MPEG2，H.264，H.265(HEVC)，AVS(AVS+)，VP9等；2、 具备常见的视频结构化，人脸识别等领域的深度学习解决方案经验者优先；3、 熟悉多种基于IP的视频流的推流，拉流，编码，解码，转码，多路复用；4、 精通Linux下音视频中间件的开发；"
信息安全工程师,本科,1-3年,深圳长广科技有限公司,布吉下李朗国际珠宝园A3栋1102,1万-1.5万,岗位职责：1、负责部分数据分析工作;2、完成对程序内部实现逻辑分析;3、负责配合开发工程师的软件开发需求。任职资格：1、熟悉C/C++、python、JAVA、C#或者其他高级编程语言中的一种;2、熟悉加密解密知识、逆向工程;3、学习过汇编语言;4、有反病毒分析或者漏洞分析经验优先;5.具备较强的技术钻研和学习能力;6.具备良好的沟通能力和团队协作精神。有以下其中一条者优先1、有计算机病毒分析、数据安全分析工作经验；2、熟悉ARM指令，熟悉单片机汇编知识；3、有软件破解经验。
渗透测试工程师,本科,1-3年,北京独创时代科技有限公司,深圳市区,1万-1.5万,岗位职责1、负责风险评估、渗透测试2、跟进业界安全漏洞，为业务提供修复方案、技术支持3、入侵事件的应急响应分析4、掌握外界攻击态势5、攻防安全技术研究任职要求：1、信息安全相关专业或者计算机专业，本科以上学历；2、精通Linux、Windows操作系统，熟悉主流数据库的特性、配置、利用手法，包括MySQL、MSSQL、Oracle等主流数据库；4、掌握Web渗透各项技能，具备SQL注入、跨站攻击（XSS、、文件上传、文件包含、命令执行、目录列表等OWASP 10等漏洞测试；5、掌握web服务器的攻防技术和安全配置，熟悉WEB渗透测试的步骤、方法、流程，能够自行进行安全攻防测试，并熟练使用常见的Web应用漏洞渗透测试工具；6、熟悉python、java等编程语言，熟悉基础的代码安全审计，并能提供相应的安全解决方案；7、精通渗透测试，深入掌握各种安全漏洞原理，能独立进行安全漏洞的分析和研究；8、具有丰富的实战经验可独立完成渗透测试工作，有内网渗透经验优先；9、对云计算、虚拟化安全技术有较深入理解。加分项：1、熟悉或者具备RED TEAM测试基本素质2、具备CISP-PTE证书3、具备安全开发能力4、熟悉常见Windows、Linux安全机制5、具有CTF比赛/漏洞平台名次/红蓝对抗经验/代码审计经验/个人技术Blog相关经验者优先。
软件测试工程师,本科,1-3年,北京博睿宏远数据科技股份有限公司,深圳市南山区深南大道高新科技园南区九洲电器大厦B座905-906,8千-1万,岗位职责：1、负责web端的功能、性能、自动化测试；2、与产品团队、开发团队沟通，详细，深入的了解软件系统，设计相关的测试场景与测试用例；3、严格把控测试进展，跟踪全程并评估风险，把握项目进度，保证产品上线的时间和质量；4、及时验证定位用户反馈问题，对Bug进行跟踪分析和报告。5、在测试工作中，保持高度的责任心，严格按照测试流程和规范执行测试，避免发布的产品有严重遗漏bug给公司带来损失。任职资格：1、一年以上web测试经验，本科及以上学历，计算机相关专业；2、熟悉jmeter、postman等工具；3、熟悉python语言，有python+selenium自动化实战经验者优先；4、有大型互联网公司测试经验者优先；5、有zookerper、kafka、redis、nginx、druid使用经验，有大数据测试相关经验者优先；6、工作积极主动，有较强责任感和严谨工作作风；7、对软件产品有强烈的责任心；工作地点：深圳市南山区科技园南十二路九洲电器大厦B座905-906
大数据开发工程师-大数据产品部,本科,3-5年,深圳市思迪信息技术股份有限公司,深圳市南山区深圳湾科技生态园9栋B4座14楼,1万-2万,工作内容：1、参与用户行为分析系统及标签画像平台架构的整体规划和设计；2、参与平台的整体数据架构设计，完成从业务模型到数据模型的设计工作；3、参与数据ETL的开发、流程的优化及解决ETL抽取数据过程中各类问题；招聘要求：1.计算机或相关专业本科及以上学历2.掌握数据仓库基本理论，精通hadoop/hive/spark开发等3.具有良好的编程能力，熟悉Scala/Java/Python等编程语言4.熟悉SQL/HQL，有较好的SQL性能调优经验5.有数据仓库大型项目或数据挖掘经验者优先6.熟悉证券行业柜台、OTC等数据者优先7.有很强的数据分析能力，对于通过数据分析发现问题，有独到的方法论8.对数据有亲切感，主动性强，细心，思维敏捷。有很强的逻辑分析能力，对发现和思考问题充满乐趣9.能接受出差优先。
計算機系統管理員,本科,3-5年,深圳市臻美生活科技有限公司,深圳市南山区科技园泰邦科技大厦11楼1168室,8千-1.2万,"岗位职责:负责各种办公软件、硬件及网络的日常管理维护；负责各类软硬件的安装、测试；负责公司核心系统的配置、管理、系统升级、上线的部署、功能验证、性能优化以及日常的备份维护等工作；负责维护核心应用平台的正常运行和故障响应处理，包括系统监控与维护、故障分析排查和处理；负责应用系统发布管理、配合技术文档的编写、操作、维护手册的拟定，辅助进行用户培训工作；制定运维风险清单和应急方案以及优化方案。定期开展应急演练及安全评估审计；拥有一定的开发能力，能够利用一些开发工具来解决业务需求和运维需求。任职资格:全日制本科及以上学历，计算机、软件工程、网络工程等相关专业之一；有应用系统运维经验, OA系统、ERP系统经验优先考虑；熟悉路由器，交换机、防火墙的网络设备的设置与管理；了解操作系统，熟悉WEB、FTP、MAIL服务器的架设；精通windows操作系统。熟练使用shell、cmd、Python等自动化运维脚本工具；熟悉oracle、mysql等数据库，能够使用结构化SQL进行数据查询；精通Microsoft Windows Server和桌面操作环境和网络了解计算机网络知识；有一定故障应急判断分析处理经验，分析能力强，处理问题主动积极；有良好的团队协作精神，愿意学习相关业务知识，对相关工作充满热情，富有责任心，能承受一定强度的工作压力。"
网络安全工程师（内网安全）,本科,不限,深圳市联软科技股份有限公司,深圳市南山区高新中区高新中一道9号软件大厦1001、1003室,1.4万-2.4万,岗位职责：1、根据项目经理或上司的指令进行新产品的调研、撰写文档、测试、项目管理工作；2、协助系统工程师或独立进行技术研究；3、根据上司安排，对低级别工程师或新入职同事进行指导、培训；4、及时完成上级交办的其他事项；岗位要求：1、一年以上工作经验；计算机相关专业本科以上学历；2、具有高度工作责任感；较强的逻辑思维能力，对新技术有较好的学习能力，适应能力。责任心强，有团队协作精神、做事积极主动，能够独立开展工作。3、熟悉C/C++、python、shell等编程语言；4、熟悉Linux下编程环境，熟练使用Linux下编译器，能够自主编写配置和编译脚本文件；5、掌握网络和网络安全基础知识优先考虑；6、熟悉nessus/openvas等漏洞扫描工具的优先考虑；7、熟悉网络安全攻防原理、工具，并具备实操经验的优先考虑。
Java开发工程师,本科,1-3年,深圳东金首创投资管理有限公司,深圳市福田区金田路诺德金融中心22FG,6千-1.2万,"岗位职责：1、负责产品业务结构的研发工作；2、完成软件系统代码的实现，编写代码注释和开发文档；3、参与系统架构的设计、核心代码的编写、系统性能的调优、业务需求的管理及数据挖掘和分析；4、根据设计文档或需求说明完成代码编写，调试，测试和维护；任职要求：1、精通JAVA语言编程，熟练掌握SSM或SSH框架其中之一2、熟悉面向对象思想，精通编程，调试和相关技术；3、精通设计模式，熟悉分布式、高性能架构和开发技术，如分布式应用开发、数据分布式管理和同步等；4、了解(ansible, salt, puppet）等自动化运维技术，了解docker，熟练掌握shell脚本处理线上问题；5、具备MySQL数据库服务器批量运维和管理经验；6、熟悉Linux操作系统，熟悉Bath Shell、Perl、Python脚本语言；7、善于学习、肯钻研、有拼劲，本科学历、有经验者优先。"
php开发工程师,本科,1-3年,深圳鸿午科技有限公司,微软科通大厦,7千-1.4万,岗位职责：1、负责广告相关系统的后台开发、稳定性优化、性能调优等工作；2、负责与外部广告系统对接、开发第三方广告服务产品等工作；3、负责运营数据统计系统开发工作。岗位需求：1、计算机相关专业本科以上学历；2年以上工作经验；2、精通PHP语言，熟练使用SQL；3、精通Linux网络编程、精通HTTP协议以及常见的框架；4、擅长使用开源项目，在某个领域内对开源项目做过选型研究，解读部分或者全部源码，掌握实现原理；5、深刻理解面向对象开发，具有较好的系统分析设计能力、文档撰写能力；6、熟悉JavaScript/Nodejs/Go/Python等语言优先；
ios开发工程师,大专,1-3年,深圳市响螺文化传媒企业,粤兴五道与粤兴四道交叉口西150米航空航天大厦2号楼3A03（科苑D口）,8千-1.6万,"职位诱惑：双休、餐补、五险一金、弹性工作制、薪资高职位描述：1、大专及以上学历，两年以上iOS平台开发经验，熟悉MVVM架构和ReactiveCocoa(硬性要求, 公司使用RAC+MVVM进行开发, 不会RAC勿投)2、负责公司iOS客户端产品的设计与开发；3、熟悉iOS相关开发、调试、优化工具、打包流程；4、熟悉iOS与H5交互，组件化，图形绘制，内存优化5、熟悉iOS下的网络编程，熟悉HTTP，WebSocket，TCP/IP等网络协议；6、有JSPatch/RN/Weex等热更新经验者优先；7、有python/golang后台开发经验者优先；8、有良好的编码习惯，追求代码质量，有解决复杂问题的能力，自我驱动，熟练阅读英文资料；9、具有良好的沟通能力和团队合作意识，能承受一定的工作压力；"
