职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
商品管理专员,本科,1-3年,深圳美家美货信息技术股份有限公司,福田区红松大厦A座9AC,8千-1.5万,"岗位职责1、商品规划1.1整理商品资料，熟悉商品的风格和特点，收集品牌信息。1.2 销售数据分析报告及库存监控；1.3 建立竞品资料库；对接合作相关事宜。1.4 输出家纺类商品规划图谱及商品白皮书；2、商品上线管理2.1 协调对接友商各商品清单，依照产品利润测算表完成商品选品上线策略建议；2.2 协调商品上线清单，监督商品生产排期及进出仓进度；跟进订单执行情况,把控交货周期；处理订单缺货、少货、质量等异常情况；满足公司销售需求，确保库存的合理性；2.3分析商品销量情况及销售案例总结；整理商品问题清单；整理当季商品档案并归档。3. 完成公司交办的其他工作；岗位要求1、两年及以上家纺商品开发的经验，服装设计、染织设计等专业毕业优先;有供应链管理经验优先考虑；有零售或电商行业经验2年以上。2、了解国内家纺品牌，对花型款式具有一定了解;3、有成品采买经验，能够独立核算成本，对家纺产品质量标准有一定的了解;4、熟练使用excel表格；熟练操作ERP系统;5、沟通能力强，头脑灵活；有责任心，主动性强，抗压能力强；心态阳光，理解能力和领悟性要高。注：本公司正处于成长开拓阶段，极需一些富有激情和远大抱负的人士与公司一同成长和发展"
信息流优化师,本科,1年以下,深圳市力玛网络科技有限公司,深圳市南山区高新南十道深圳湾科技生态园9栋B4座17楼,7千-9千,HR告白：力玛随着互联网时代的浪潮发展至今，我们以“平等”、“开放” 、“信任”、“激情”、“创新”、“价值”作为企业文化的核心理念，在服务客户的同时也能让你学到满满干货。我们会为你匹配来自百度、 Google、腾讯、阿里等优秀互联网团队的成员，国内领先的互联网广告推广平台，带你开挂带你飞。我们希望你能：1、完成每月制定的消耗目标，并利用专业知识引导客户提升广告投放规模；2、管理客户推广账户，并对推广效果进行高质量的优化；3、对广告数据进行监控，对广告创意表现进行数据分析与总结，并不断优化推广效果；4、根据客户推广情况，为客户定制合理优化方案，不断提升客户使用体验；5、有效完成上级所制定各项任务目标。我们希望你具备：1、本科及以上学历，市场营销/电子商务类相关专业优先；2、一年及以上移动互联网广告推广运营经验+实操移动信息流后台经验；3、熟悉今日头条/百度信息流/腾讯广点通等业务模式和产品者优先，有过大客户成功管理经验者优先，有过互联网广告平台推广从业经验优先；4、具备较强的学习能力，有强烈的责任心和执行力，目标感强，具备较强的综合能力，发现和独立解决问题的能力；5、具有优秀的沟通、协调能力，有良好的客户服务意识及培训技巧；6、熟练方案制作及PPT、Excel等办公软件操作，PS等作图软件。我们能给你：基本工资+奖金，人均薪酬6K以上，给有付出的你应得的报酬~入职即购五险一金，双休+带薪年假+节日福利+生日会+员工活动；更有来自年轻活泼高颜值团队的不定期投喂~完善的晋升体制：客服专员-客服经理-客服总监（公平的竞聘环境+专业管理知识培训），快速成为管理层不是梦~新人培训+成长计划培训+产品培训+工作技巧培训等全方位同步助你成长，最专业的培训机制，让你学习赚钱两不误~如果你是社交达人、热爱果你互联网；如性格开朗、喜欢表达；如果你衷于思考，不断学习；如果你对广告、客户、推广有自己的见解，梦想成为广告投放大咖+人脉小能手，那力玛将是最适合你的舞台！我们不拒小白，希望你有一腔热血，更有带着对360产品与互联网行业的认可！力玛今年来飞速发展，团队不断壮大，晋升机会多多。如果你已经耐心的看到这里，并与我们有共同的价值观，欢迎你投递个人资料，与我们一起创造价值，成为我们的一员，一起打怪升级~
运营专员,大专,1-3年,深圳市稳健基础工程有限公司,福田区莲花北村吉莲大厦二层JL1-301号（土筑虎网络）,5.5千-8千,职位描述（土筑虎网络公司）：1、负责通过互联网工具或电话服务用户；2、负责土筑虎平台频道运营维护，做好类目梳理，完善类目；3、梳理各类目产品，建立商品发布模板；4、梳理类目空缺产品，为公司拓展供应商指明方向；5、负责供应商品审核，纠正错误发布商品内容；6、负责引导个人及企业入驻土筑虎平台，同时负责已有会员的维护及跟进；7、负责收集整理日常反馈及用户声音，推动产品功能优化；8、负责通过运营数据做简单的数据分析，制定执行方案并有效落地，提升用户转化。任职要求：1、大专及以上学历，建筑行业相关专业优选；2、有2年互联网运营经验、商品管理、类目管理经验者优先考虑；3、有供应商拓展经验者优先考虑；4、有数据分析能力，通过现动销率，指导页面商品分布情况；5、责任心强，能够主动承担责任，并努力去达成目标；6、学习能力强，能够主动学习技能和专业知识，提高工作效率；工作地点：土筑虎网络公司
外贸推广 独立站SEO运营/谷歌,本科,不限,深圳汇灵度电子科技有限公司,龙岗区平湖街道广弘国际影视文化产业园D栋509,5千-1万,"公司介绍：深圳汇灵度电子科技有限公司成立于2016年年末，目前处于爆发式增长期，主营音视频、游戏竞技类电子周边产品，在欧洲、美国和日本都有我司自主品牌。我司在国内渠道经验超过20年，且属于国内电商电子竞技品类的领军企业，目前着重全力扩张国外电商市场。无经验亦可、纯英文网站工作内容：1、负责公司的官方独立站SEO优化，提出相关优化方案,评估、分析网站的关键词，提升网站关键词在谷歌等搜索引擎的排名及权重维护工作,有操作shopify平台经验者优先。2、熟悉Google的基本算法，并能通过Google工具进行数据分析，检测等提出有效的优化方案3、负责本渠道的流量、数据分析，效果把控4、熟悉各大型SEO推广渠道，执行外链推广计划。在国外主流社区，行业论坛，博客对公司网站及品牌进行整体营销推广。5、熟悉facebook,twitter,youtube等主流社交网站营销推广，增加粉丝量，擅长活动策划与互动。提升品牌知名度。6、善于分析竞争对手推广策略，有网红推广，Affiliate广告管理与维护经验者优先；7、了解和分析竞争对手的SEO策略,熟练掌握软文编辑以及推广。8、分析网络营销的方法，总结不同的推广策略，合理利用，不断提高网站的有效IP流量。任职资格：1. 本科全日制大学毕业2. 英语四级以上，精通英语者优先3. 精通google seo及外贸独立站推广优先公司福利：1、基本待遇：基本工资+提成奖金+工龄奖+全勤奖+年底福利+五险及其他福利；2、公司配置冰箱、微波炉等；3、公司具有良好的激励机制和职业培训，畅通的晋升渠道和充分的发展空间；4、享有国家法定的公众假期；5、不定期组织各项活动，丰富员工的业余生活，营造轻松、愉悦、自由的工作氛围。上班时间1、按国家规定享受法定节假日；2、上班时间：5.5制 9:00-12:00 13：30-18：00联系人：黎小姐联系电话：***********工作地址：深圳市龙岗区平湖街道华南城平吉大道163号广弘星座703"
跨境电商 运营 店长,大专,1-3年,深圳中湾贸易有限公司,南山西丽旺棠工业区18栋319,5千-8千,一、岗位职责：1、根据个人所擅长，负责亚马逊或者速卖通账号管理，维护账号的健康；2、做好竞争对手以及产品数据分析工作，能独立选品运营至盈利；3、定期统计销售数据和库存数据等，根据市场销售情况，合理安排备货，保持较好的库存周转率和库存量，保证店铺产品良性运营；4、站外粉丝运营引流操作。5、完成上级安排的其他工作。二、职位要求：1、大专及以上学历；2、英语四级以上（日、法、德等小语种亦可），商务信函写作熟练；3、擅长站外营销推广运营经验的优先；4、也欢迎优秀应届毕业生；5、有自我驱动力者优先。公司特色：公司提倡效率为先每天7小时工作制，周日固定休息。底薪+提成公司推行内部晋升制，提供管理通道和精英通道的双向发展机会
照明设计师助理,大专,1-3年,江苏创一佳照明股份有限公司,留仙洞创科路万科设计公社B112,5千-1万,1、 协助专案设计师完成项目资料收集、参与方案创意、效果图绘制、CAD图纸绘制、常规灯具产品选型、制作相关表格；2、 完成照度计算及相关数据分析；任职资格：1、 熟练使用AutoCAD 、Photoshop、Office等相关软件，较强的手绘能力；2、逻辑思维清晰，工作责任感强、认真、细心。
亚马逊广告CPC推广专员运营,大专,1-3年,深圳汇灵度电子科技有限公司,龙岗区平湖街道广弘国际影视文化产业园D栋509,6千-1万,"位描述：1． 负责亚马逊店铺下的站内商品广告推广的建立投放，分析销售产品Listing，确立CPC投放、优化；对账号竞价ROI负责；2． 负责关键词和广告文案的数据分析和撰写优化；对竞价关键词进行整理和数据分析，进行有效评估；通过广告优化对账户进行调整和延展，提升广告效果。3． 擅长Amazon产品页面的搜索关键字优化，熟悉搜索引擎优化；擅长提升页面实际流量、转化率的各种网络营销推广方式；独立分析广告关键词投放数据和广告效果监控，统计相关数据展示、点击、花费、订单、CVR、ACOS、OrdersSales、ROI等并依据数据进行优化；4． 依据Listing变动和竞争对手Listing变动, 使用不同的策略进行投放调整；测试思考挖掘更多的广告策略PPC Strategy, 提高广告效果；创建广告系列-广告组-广告产品，寻找及筛选可投放关键词，出价调整，匹配方式设定等日常广告投放内容5． 善于建立搜索引擎市场营销模型，懂得通过逻辑分析对投放的关键词进行分析和优化，整理优化策略；监控竞价广告效果，并定期分析产出优化报告，负责Acos的控制与优化。广告预算费用控制；6． 熟悉Amazon销售管理流程、政策、销售技巧.逻辑思维强，对数据敏感，具备较强数据分析能力，有研究思维和兴趣任职要求1. 全日制本科及以上学历，一年以上Amazon Sponsored Ads/GoogleAdwords/广告投放相关经验；2. 工作严谨细致，善于学习和专研。逻辑思维强，对数据敏感，具备较强数据分析能力，有研究思维和兴趣。出色的excel数据处理能力；熟悉使用Excel常用函数和数据透视表,懂得对数据进行细分及优化。3. 有清晰的投放思路和策略，有成功案例。有一年以上的亚马逊cpc竞价经验。4. 有责任心，能承受一定的工作压力，有团队协作精神，善于挑战。"
亚马逊西班牙语运营,大专,1-3年,深圳市拓必思电子商务有限公司,展滔科技大厦A座,6千-8千,岗位职责：1、会西班牙语，熟悉亚马逊平台规则，掌握平台动向，能够及时应对亚马逊的政策调整。2、能够熟练的进行后台操作，全权负责发展和管理亚马逊平台上的业务，确保账号绩效及安全。3、产品推广，产品listing优化，做好站内外引流，提高产品排名，确保销量，完成业绩目标。任职要求：1、大专以上学历，西班牙语专业；有欧洲留学经验，或有小语种培训经验亦可；2、熟悉Amazon平台、流程及政策，熟悉Amazon推广工具，能独立操作账号；3、具备一定的数据分析能力，办公软件操作熟练；4、具备较强的西班牙语听说读写能力；有上进心和较强的执行力；5、具有强烈职业责任感、责任心、团队合作精神，投身于外贸电商行业；薪酬福利：1、薪酬：高于行业薪资水平，底薪（6K-8K）+提成（提成点数毛利13%稳高于同行 ）2、一年两次调薪机会3、为员工缴纳社保（五险）4、享受国家法定假日，公司在中秋节等重大节日为员工发放节日慰问品；5、带薪假期（婚假、产假、年休假、法定假日）等6、员工活动：每月部门都会有安排娱乐活动，假期公司不定期组织旅游活动；7、工作时间：大小周。9:00-12:00 13:30-18:30（周六9:00-12:00 13:30-16:30）早上上班实行弹性工作制（9:00-10:00）面试地址：深圳市龙华新区民治大道展滔科技大厦A座乘车路线：乘坐324路;333路;334路;336路;339路;620路;621路;m152路;m225路;m262路;m282路;m302路;m353路;m372路;m391路;m392路;m567路;高快巴士34号到万众城站台下车即可或312路;336路;621路;b915路;m152路;m180路;m180路大站快车;m244路;m262路;m269路;m310路;m360路;m365路a环;m365路b环;m379路;m393路到油松工业区站台下车
Amazon亚马逊销售/亚马逊运营,大专,不限,深圳市易佰网络科技有限公司,龙岗区里浦街7号TOD科技中心1栋,6千-1.2万,岗位职责：（1）根据产品的销量和排名变化，及时制定和调整销售策略及推广计划，做好数据分析工作；（2）负责亚马逊店铺的日常运营和维护，如产品上传、LISTING优化，数据维护与更新等；（3）收集竞争对手资料，追踪、分析竞争对手；（4）根据公司总体运营策略及销量目标制定运营计划，完成公司的销量任务；（5）负责账号、产品的营销推广，提高其曝光，排名，访问、转化率和销量。任职资格：（1）大专及以上学历，英语四级，英语读写能力熟练；（2）半年以上亚马逊销售经验优先考虑，熟悉亚马逊平台规则；（3）具有较强的进取精神和良好的团队合作精神。我司员工享有福利包括：1、入职购买五险一金；2、免费下午茶，加班补贴，节假日福利；3、部门内部旅游不断，部门聚餐那也是常有的事；季度团队活动；4、免费享受职业培训、兴趣班培训、入职即可加免费加入公司兴趣俱乐部；5、全勤奖，带薪年假，婚假，国家规定的有薪假；6、绩效奖金，优秀员工奖金，年终奖金；
京东天猫运营,不限,1-3年,深圳市宏飞兴业电子科技有限公司,深圳市龙华大浪高峰社区科伦特低碳产业园A栋3楼,4千-6千,岗位职责：1. 全面负责天猫、京东平台的运营与管理工作；2. 负责制订天猫平台的年度、季度、月度运营计划，并能带领团队成员出色完成目标任务；3. 熟练使用淘宝营销工具（直通车、淘客、钻展等）进行产品及商城推广；4. 制定推广方案并负责实施，定期针对推广效果进行评估，对店铺及产品访问量、转化率数据进行分析，及时对店铺细节进行改进；5. 具备较强的数据分析能力，有清晰的运营思路，能够通过数据分析及时对产品及营销做出调整；6.较强的团队管理能力和沟通能力，能够承受较大的工作强度和工作压力。任职要求：1、专科以上学历，1年以上天猫运营管理经验；2、熟悉天猫的运营环境、天猫制定的交易规则、天猫的推广、天猫网站广告资源；3. 熟悉互联网的产品推广运营方式，熟悉直通车、淘宝客、超级卖霸等淘宝推广工具及微信等社交网络平台推广工具。4、薪资面谈。
京东运营（卫诗理）,大专,1-3年,深圳市田田家园家具有限公司,固戍地铁站D出口梧桐岛11栋7-9楼,6千-1万,岗位职责：1、负责京东商城的总体运营，布局、活动策划，营销推广、商品上下架、搜索等；2、负责京东商城店铺的整体业绩，按公司预定计划完成目标；3、通过对相关数据的监控和分析，对店铺及时作出调整；突发情况的及时解决，以及中差评的跟进与协调处理。4、负责店铺页面板块优化，提升消费者进店体验。5、负责店铺销售产品标题及描述的优化，提升产品在搜索相关性排名。6、监控广告投放效果，及广告投放数据分析，及时优化调整。7、了解平台活动群的最新资讯，与平台小二进行沟通，对产品活动进行提报。任职要求：1、 有1-2年以上京东运营经验者、有家具类目行业者优先；2、 熟悉京东后台以及各种营销工具；熟悉了解京东商城运营规则，了解各项活动运营流程。3、 有良好的沟通与协调能力，能协同设计、文案策划同事共同开展工作。4、 具有较好的执行和创新能力，以结果为导向，有团队合作精神；
英文网站SEO专员,大专,1-3年,深圳市新佳光电有限公司,深圳市龙华新区深圳市龙华民治万众城牛栏前大厦C1306,8千-1.2万,岗位职责：1、负责英文独立站的推广工作，利用各种外链建设渠道推广网站关键词，提高网站排名，尤其是论坛的推广和相关行业外链的建设；2、负责公司SNS推广工作按照SEO主管的要求完成包括FaceBook、Twitter、linkedin ， pinterest等的每日运营任务；3. 负责完成每日博客、外链、文章平台的推广和维护任务任职要求：1、大专及以上学历，市场营销、英语相关专业者优先；英语CET6级以上。有FB广告或Google广告投放经验。2、独立站运营、SEO推广，Google广告投放，Facebook、YouTube等主流SNS推广运营经验；3、良好的沟通协调能力、数据分析能力、执行力以及应变能力；4、强烈的责任心以及团队意识，抗压能力强。我们的福利待遇如下：1、薪 酬：拥有在行业内颇具竞争力的薪资及激励机制，每年定期会加薪；2、额外奖金：目标奖、绩效奖，超额奖，年终奖等；3、法定带薪假期：员工享有年假、婚假、产假、法定节假日等按照国家规定的带薪假期；4、社会保险：入职购买五险+意外险；5、文娱活动：公司定期组织各种文娱活动，聚餐、下午茶，每月员工生日会，公司旅游活动，年会等；6、其他福利：年终分红奖励；7、工作时间：每天7.5小时，大小周；鼓励敬业，提供延时下班餐补50元/天；8：重大节日（中秋、端午、春节、生日）福利礼品；9、每日活动：每日16:00-16:20为休息时间，做眼保或颈椎健操；工作地点：龙华新区民治大道牛栏前大厦C１３０６　(地铁民治站转公交（3个站）至 牛栏前 下车即可）
今日头条、广点通广告运营/信息流广告,大专,不限,深圳天迹信息科技有限公司,深圳福田区深南大道6025号英龙大厦9楼908室,5千-1万,岗位职责：1、负责腾讯广点通、今日头条、凤凰、百度信息流等平台的广告投放事宜，帮广告主制定投放计划；2、负责各信息流平台账户搭建，数据优化，效果分析；3、挖掘客户需求感受，提升广告运营效果，为运营改进提供建设性意见；4、负责后期跟进、沟通、维护客户投放进度、续费、以及客户关系，解决客户投放成本KPI以及提高销量、消耗业绩。任职要求:1、热爱互联网行业，对信息流广告热爱和兴趣；2、有较强的数据分析能力，有较好的文案写作能力；3、具有较高的职业素养和敬业精神，较强的团队合作意识；4、有过广点通，凤凰网，今日头条，百度信息流等后台操作工作经验者优先考虑。5、二类电商行业有一定投放经验，广点通、头条有成功电商跑大账户经验者优先熟悉广点通、头条的电商投放逻辑、素材规范。6.性格开朗、学习能力强，有较强的广告策划能力和执行能力。福利待遇：1、底薪+提成+社保+常规奖金+年资+绩效工资+年终奖；2、奖金：评优奖金、月度奖、季度奖、突破奖等；3、年资奖：运营人员满一年每月加年资100元，满两年每月加200元，以此类推；4、工作时间：早9点至晚18点30；法定节假日统一放假；5、活动：公司定期为员工举办各种类型的精神娱乐文化活动。如的运动会、拓展训练、团队旅游、省内外游、出国游等；6、培训： 对每位在职员工进行入职培训，定期开展相关岗位培训，提升职业技能与自身修养；7、晋升：公司采用内部晋升方式，一季度一晋升机会，提供良好的晋升空间和发展平台!与新媒体营销精英共事，和腾讯、新浪、UC产品同台，响当当，期待您的加盟！知人善用，挑战高薪，良好的职位晋升机制，欢乐的工作氛围，我们虚位以待！欢迎自荐或推荐！
外贸业务员(可应届英语六级及以上),大专,1-3年,深圳市梵姿雅实业有限公司,深圳市龙岗宝龙四路安博创新产业园2栋1408,6千-8千,岗位职责：1、负责亚马逊、速卖通、WISH等平台产品在线销售工作，包括产品的上架、优化，产品卖点提炼，定期更新产品各维度信息；2、结合运营各项资源，制定产品推广计划，设置站内广告，负责站内引流、站外推广；3、负责账号管理，维护和优化listing页面、增加review，确保账号安全；4、分析销售数据，并找出销售额变动的原因及优化措施，进行竞品分析且制定相应的运营策略，旨在提高产品销量和排名；5、结合市调和历史数据预估未来销量，监控FBA库存数据，保证健康的库存周转，及时跟进畅销款货品补货及滞销品库存清理；6、根据产品市场接受度和客诉反馈，主动推进产品升级、优化、改良；7、针对所负责产品线，能进行现状分析和未来趋势布局；8、独立处理亚马逊、速卖通、WISH等的CASE。任职要求：1、全日制本科以上学历，专业不限，英语读写熟练，大学英语六级及以上；2、具有商业思维，有很强的市场敏感度，有较强的学习能力；3、对数据敏感，有一定的数据分析能力，熟练掌握office使用技巧；4、具备较强的执行力，善于沟通，具备团队意识；5、具备基本的职业素养，勤奋踏实，能承受压力；6、有较强的应变能力，能独立解决客户问题。
阿里巴巴/环球资源国际站运营专员,大专,1-3年,深圳市欣博跃电子有限公司,龙华新区大浪街道新岭路91号泰松工业园4栋,5千-8千,"岗位职责：1、负责阿里巴巴/环球资源国际站主账号后台的管理工作及优化排名，以及产品的上下架和布局；2、负责阿里巴巴国际站平台搜索排名和产品优化曝光，精通操作阿里巴巴运营国际站推广，产品及关键词优化；3、负责公司阿里巴巴国际站店铺的整体运营，规划，推广工作，提高产品的曝光率与点击率，增加询盘；4、进行数据分析、评估关键词质量度、提出关键词的优化方案；5、灵活实施推广力度，增加点击和询单量。任职资格：1、有2年以上外贸运营经验，对阿里巴巴国际站平台操作经验；2、熟悉阿里巴巴/环球资源国际站排名规则，对提高店铺转化率有丰富经验；3、热爱外贸推广工作，有阿里巴巴国际站P4P操作及信保订单经验优先考虑；2004 5137-53|************* 734、良好的统筹、逻辑思维、沟通能力，执行力和抗压力强，具备团队合作精神。5、英语读写能力俱佳，有电子产品经验的优先考虑。优势与福利;优势：一、环境优美：地处大浪绿道旁，环境十分优美，青山绿水二、交通便利：地处M214、M340终点站（上下班乘坐公交时几乎都有座位，不用去承受上下班高峰期挤公交、挤地铁等所带来的痛苦，乘坐车辆时有多个选择，不会因为一辆车的延误而耽搁了上班时间。另，道路也宽广畅通，很少有塞车等现象。三、生活成本低廉1、住宿免费：公司免费提供宿舍（仅需扣水电费）。另，工业园附近租房相对便宜，单间500元左右/月，一房一厅650元左右/月；2、就餐实惠：工业园区内有自助快餐7元起（职员公司补助4-5元/天），附近有饭店、餐厅等价格非常实惠；3、购物便捷：工业园区内外均有小店，附近有夜市、菜市、服装基地及多家大型超市，购物相当便捷实惠；4、就学方便：地处大浪第三实验学校附近，附近还有多家幼儿园、小学、中学等学校，可为子女的就学提供便利。5、团队氛围融洽：公司是一个充满激情和活力的年轻团队，由一群80、90帅哥美女们组成，团队氛围融恰，办公环境宽松舒适，让你远离枯燥泛味、机械、古板式的工作模式。福利：1、公司职员统一为5.5天（大小周）/周,8小时/天（9:00-18:00），一月内允许职员累计迟到30分钟，中午适应多给10-20分钟作为休息时间（算正常出勤），做到了真正意义上的人性化管理；2、我们依照国家政策享有病假、婚假、产假、丧假、年假，以及法定节假日，其中年假已经高出法定标准（工作满一年享受5天年假，满两年6天、满三年7天，以此类推，15天封顶）；3、我们依据国家政策为员工购买社会保险；（入职就买）4、我们为员工发放生日礼物及端午、中秋等节日礼物；5、每年都会组织高大上的年会。每月也会组织团体活动等；6、更多的福利将在公司的发展中不断完善与提升。期待有才能的你加入欣博跃这个大家庭！"
应届毕业生 外贸专员 外贸业务员 贸易专员 ,大专,无经验,深圳市亿莱电子商务有限公司,深圳市宝安区西乡街道固戍二路华丰智慧创新港B座一楼,5千-1万,"一、岗位职责1、负责亚马逊/ebay/速卖通/wish/walmart店铺日常运营管理，独立管理账户、上架产品，处理订单；2、根据产品的销量和排名变化，及时制定和调整销售 策略及推广计划，做好数据分析工作；3、分析竞争对手情况，掌握市场趋势和变化，制定改善的可行性方案；4、针对店铺运营和账号健康管理，做好分析总结，及时向上级汇报情况；5、配合协助上级对新人进行指导，促进团队和谐，带动团队合作，共同完成团队目标；6、服从上级的指令，按时有效的完成上级交付的任务。二、职位要求：1、大专及以上学历；2、商务信函写作熟练；3、有无工作经验的都可以，只要工作踏实敬业，有责任心和耐心；4、欢迎优秀应届毕业生。5、英语CET4四、福利待遇：无责任底薪+高额提成+奖金;入职购五险一金,提供新员工住宿,5.5天制，员工每月有半天带薪特殊假；带薪培训：入职有资深业务员带领，让你迅速get到专业技能并开展工作；职位晋升通道:外贸业务员（初级，中级、高级、银牌、金牌、皇冠一月一次的晋升机会）——>外贸主管——>外贸经理;我们致力于为所有员工打造一个舒适、轻松的工作环境，为大家提供一个广阔的职业发展平台，更为大家提供：1.薪 酬：拥有在行业内颇具竞争力的薪资及激励机制；2.社会保险：员工入职即购买五险一金；3.节日慰问：公司在端午节、中秋节等重大节日为员工发放节日慰问品；4.假期规定：公司提供按国家标准的有薪假期；5.生日活动：公司为当月生日员工送上生日礼品和组织员工生日会；6.员工活动：公司每年会举行一次大型年会活动；每年组织两次外出旅游，并定期组织各项文娱活动（如：聚餐、烧烤、 爬山、羽毛球赛等）丰富员工的业余生活；每月会定期组织各类活动；7.员工培训：公司重视员工个人发展，不定期为员工组织相关培训；8.其 他：公司员工享有每月半天带薪特殊假。"
网店运营,大专,不限,深圳市品索科技有限公司,深圳市龙岗区中心城如意路金顺大厦A座703,1.5万-2万,岗位职责：1、负责网店平台搭建筹备、日常运营、优化管理工作；2、制定网店销售计划，带领团队成员努力完成销售目标；3、定期针对网店业绩进行总结、评估和统计分析，及时提出销售改进方案；4、负责店铺日常改版策划，产品上架及推广、售后等经营与管理；任职资格：1、大专以上学历，有良好的语言表达沟通能力，反应敏捷，数据分析及执行能力强；2、有京东自营店、京东旗舰店整体平台运营工作经验的优先，能够独立管理店铺；3、有较强的文字表达能力，信息收集、归纳、整理能力，以及熟悉相关制图软件，有一定没事功底者优先。
博士后岗位,博士,1年以下,深圳市建筑科学研究院股份有限公司,深圳市福田区梅林梅坳三路29号,2万-3万,岗位职责：创新性课题研究任职要求：一、招收条件1.近两年在国内外获得博士学位，品学兼优，身体健康，年龄在35周岁以下，能全职从事博士后研究工作；2.在博士后相关研究领域发表过论文，或取得了一定的研究成果，有较高的理论、实践经验，可独立或领导完成项目的研究开发工作；3.具有良好的政治素质和道德修养，遵纪守法，无不良记录。二、博士后招聘专业与研究方向1.电力系统自动化专业/控制工程/软件工程，熟悉电力系统或者控制工程或者软件工程等学科相关知识。能独立发表论文或专利者优先。研究方向：直流建筑业务领域2.结构工程、土木工程类研究方向：房屋安全与建筑结构健康监测评估研究3.建筑照明类研究方向：建筑光环境优化与评估研究4.建筑声学类研究方向：建筑隔声和声环境优化与评估研究5.环境工程类研究方向：（1）室内环境产品研发；（2）气环境健康影响与环境预控技术研究；（3）水环境评价和修复理论及技术研究。6.经济学类研究方向：区域发展政策研究。7.资源环境科学、环境学、生态学，需要良好的逻辑分析能力、擅长数据分析与挖掘研究方向：城市发展8.数学、信息科学、统计学研究方向：\9.制图学与地理信息工程、计算机研究方向：\*部分岗位的博后进站后可以在北京工作。三、待遇1.公司提供有竞争力的薪酬和科研经费：薪酬15-25万/年；科研经费最高可达100万；对于有创新实力的博士后，配备专业团队。只要你有才华和潜力，欢迎来挑战！2.深圳市及福田区的补贴：（1）在站期间博士后提供生活补贴：30万元/人；（2）出站留深工作博士后：提供科研补贴30万元/人；出站留深满3年可被评为深圳市后备级人才，可享受包括：住房优惠政策、配偶就业促进政策、子女入学优惠政策、学术研修津贴政策等人才倾斜政策。四、简历投递：1.登陆招聘网站（51job、智联招聘、建筑英才网、猎聘通）页面，搜索“深圳市建筑科学研究院股份有限公司”职位，进行在线投递；2.公司官网投递地址：登录http://ibrcn.zhiye.com/注册账户，点击校园招聘页面，查询岗位并填写简历，提交申请。五、联系方式汤女士， *************， ****************
海外独立站推广,大专,1-3年,深圳市新佳光电有限公司,深圳市龙华新区深圳市龙华民治万众城牛栏前大厦C1306,8千-1.5万,岗位职责：1、负责Facebook和Google广告投放。根据各类推广活动的策划方案，制定广告宣传方案，对广告进行成本预算、实施进度及按日、周、月效果跟踪，提交统计报告；并根据计划落实执行;2、在国外主流社区，行业论坛，博客对公司网站及品牌进行整体营销推广。及时分析各种推广渠道的数据，并调整推广策略提高推广和转化，提高ROI；3、关注竞争对手独立站营销模式，结合顾客需求并根据公司的产品与服务对网站流程进行优化；4、分析流量数据、市场趋势、产品曝光率以及客户行为并制定优化推广策略；任职要求：1、大专及以上学历，市场营销、英语相关专业者优先；英语CET6级以上。有FB广告或Google广告投放经验。2、独立站运营、SEO推广，Google广告投放，Facebook、YouTube等主流SNS推广运营经验；3、良好的沟通协调能力、数据分析能力、执行力以及应变能力；4、强烈的责任心以及团队意识，抗压能力强。我们的福利待遇如下：1、薪 酬：拥有在行业内颇具竞争力的薪资及激励机制，每年定期会加薪；2、额外奖金：目标奖、绩效奖，超额奖，年终奖等；3、法定带薪假期：员工享有年假、婚假、产假、法定节假日等按照国家规定的带薪假期；4、社会保险：入职购买五险+意外险；5、文娱活动：公司定期组织各种文娱活动，聚餐、下午茶，每月员工生日会，公司旅游活动，年会等；6、其他福利：年终分红奖励；7、工作时间：每天7.5小时，大小周；鼓励敬业，提供延时下班餐补50元/天；8：重大节日（中秋、端午、春节、生日）福利礼品；9、每日活动：每日16:00-16:20为休息时间，做眼保或颈椎健操；工作地点：龙华新区民治大道牛栏前大厦C１３０６　(地铁民治站转公交（3个站）至 牛栏前 下车即可）
网络推广,大专,1-3年,深圳市兴安消防工程有限公司,龙岗区南湾街道下李朗社区信利康物流园1栋9楼,4千-6千,岗位职责：1.运营搜索引擎到网站的自然流量，提升网站在各大搜索引擎的排名，对搜索流量负责。2.从事网络营销研究、分析与服务工作，评估关键词3.制定网站总体及阶段性推广计划，完成阶段性推广任务，负责网站注册用户数、PV、PR、访问量等综合指标。4.结合网站数据分析，对优化策略进行调整5.了解网站业务，锁定关键字；站点内容强化，内部链接；外部链接建立；结合网站数据分析；扩展长尾词6.负责传播文案、创意文案、软文、新闻等撰写和发布执行控制7.负责论坛事件营销的创意和执行8.负责媒介公关和广告投放执行和监测9.对网站的有效、精准流量负责任职资格：1.掌握百度、阿里巴巴、Google、360、soso等搜索引擎的基本排名规律；并精通以上各类搜索引擎的优化，包括站内优化、站外优化及内外部链接优化等；精通各种SEO、SEM推广手段，并在搜索引擎上的关键词排名给予显示。2．了解各种网络营销方法、手段、流程，并有一定实操经验。3.对网络文化、网络特性、网民心理具有深刻洞察和敏锐感知。4.优秀的文案能力，能撰写各种不同的方案、文案。5.具有较强的网站关键字监控、竞争对手监控能力，有较强的数据分析能力，能定期对相关数据进行有效分析
